Response Time,Availability,Throughput,Successability,Reliability,Compliance,Best Practices,Latency,Documentation,WSRF,Classifier
0.6542,0.6712,0.6582,0.6556,0.6771,0.6693,0.6657,0.6508,0.6426,58,3
0.6514,0.6904,0.6465,0.6835,0.6466,0.6630,0.6598,0.6508,0.6578,58,3
0.6514,0.6771,0.6465,0.6712,0.6556,0.6630,0.6720,0.6508,0.6578,58,3
0.6492,0.6904,0.6437,0.6712,0.6657,0.6630,0.6720,0.6486,0.6535,57,3
0.6514,0.6657,0.6465,0.6556,0.6556,0.6761,0.6720,0.6508,0.6672,57,3
0.6571,0.6712,0.6465,0.6657,0.6712,0.6693,0.6657,0.6537,0.6456,57,3
0.6514,0.6771,0.6502,0.6605,0.6771,0.6630,0.6789,0.6486,0.6426,57,3
0.6542,0.6771,0.6541,0.6712,0.6556,0.6693,0.6720,0.6508,0.6426,57,3
0.6542,0.6510,0.6502,0.6466,0.6605,0.6693,0.6720,0.6508,0.6902,57,3
0.6542,0.6835,0.6502,0.6657,0.6605,0.6630,0.6720,0.6537,0.6426,56,3
0.6492,0.6835,0.6437,0.6605,0.6657,0.6630,0.6720,0.6508,0.6578,56,3
0.6542,0.6712,0.6465,0.6605,0.6605,0.6630,0.6789,0.6568,0.6578,56,3
0.6492,0.6904,0.6437,0.6605,0.6712,0.6630,0.6720,0.6486,0.6535,56,3
0.6542,0.6712,0.6465,0.6605,0.6424,0.6630,0.6720,0.6508,0.6838,56,3
0.6542,0.6835,0.6437,0.6657,0.6605,0.6630,0.6720,0.6537,0.6456,56,3
0.6492,0.6904,0.6465,0.6771,0.6605,0.6630,0.6720,0.6486,0.6456,56,3
0.6514,0.6904,0.6465,0.6904,0.6424,0.6761,0.6657,0.6508,0.6456,56,3
0.6492,0.6712,0.6437,0.6605,0.6556,0.6761,0.6720,0.6486,0.6723,56,3
0.6492,0.6835,0.6465,0.6712,0.6712,0.6693,0.6657,0.6486,0.6426,55,3
0.6514,0.6605,0.6502,0.6556,0.6466,0.6693,0.6657,0.6508,0.6902,55,3
0.6514,0.6657,0.6502,0.6510,0.6556,0.6693,0.6720,0.6486,0.6672,55,3
0.6492,0.6657,0.6437,0.6556,0.6605,0.6693,0.6789,0.6486,0.6723,55,3
0.6514,0.6771,0.6502,0.6771,0.6466,0.6693,0.6720,0.6508,0.6456,55,3
0.6571,0.6657,0.6541,0.6510,0.6657,0.6693,0.6789,0.6537,0.6456,55,3
0.6492,0.6904,0.6465,0.6605,0.6466,0.6761,0.6720,0.6486,0.6578,55,3
0.6514,0.6904,0.6465,0.6424,0.6424,0.6693,0.6720,0.6486,0.6456,55,3
0.6542,0.6712,0.6465,0.6605,0.6556,0.6571,0.6720,0.6568,0.6578,55,3
0.6514,0.6605,0.6465,0.6510,0.6556,0.6693,0.6657,0.6508,0.6902,55,3
0.6542,0.6771,0.6465,0.6657,0.6605,0.6630,0.6657,0.6537,0.6456,55,3
0.6514,0.6510,0.6437,0.6466,0.6657,0.6761,0.6720,0.6508,0.6838,55,3
0.6492,0.6712,0.6437,0.6605,0.6510,0.6571,0.6720,0.6486,0.6838,54,3
0.6514,0.6835,0.6502,0.6657,0.6556,0.6630,0.6720,0.6508,0.6456,54,3
0.6542,0.6657,0.6465,0.6605,0.6657,0.6630,0.6657,0.6568,0.6456,54,3
0.6514,0.6835,0.6502,0.6657,0.6556,0.6630,0.6657,0.6508,0.6456,54,3
0.6542,0.6712,0.6437,0.6657,0.6712,0.6630,0.6598,0.6537,0.6456,53,3
0.6542,0.6712,0.6437,0.6556,0.6605,0.6693,0.6720,0.6568,0.6456,53,3
0.6514,0.6904,0.6502,0.6835,0.6424,0.6693,0.6543,0.6508,0.6456,53,3
0.6514,0.6657,0.6541,0.6556,0.6605,0.6693,0.6789,0.6508,0.6456,53,3
0.6571,0.6510,0.6541,0.6424,0.6835,0.6630,0.6720,0.6537,0.6456,53,3
0.6635,0.6466,0.6502,0.6424,0.6835,0.6630,0.6657,0.6600,0.6426,53,3
0.6492,0.6712,0.6465,0.6556,0.6605,0.6630,0.6720,0.6486,0.6578,53,3
0.6514,0.6835,0.6465,0.6605,0.6605,0.6630,0.6657,0.6508,0.6456,53,3
0.6492,0.6771,0.6437,0.6605,0.6712,0.6630,0.6789,0.6486,0.6426,52,3
0.6492,0.6835,0.6502,0.6712,0.6605,0.6630,0.6598,0.6486,0.6456,52,3
0.6542,0.6657,0.6541,0.6657,0.6466,0.6693,0.6657,0.6537,0.6456,52,3
0.6514,0.6605,0.6465,0.6605,0.6424,0.6630,0.6657,0.6508,0.6902,52,3
0.6492,0.6771,0.6465,0.6712,0.6556,0.6693,0.6657,0.6486,0.6456,52,3
0.6514,0.6657,0.6465,0.6605,0.6712,0.6630,0.6657,0.6508,0.6456,52,3
0.6514,0.6712,0.6582,0.6510,0.6657,0.6630,0.6657,0.6508,0.6426,52,3
0.6514,0.6835,0.6465,0.6657,0.6556,0.6630,0.6657,0.6508,0.6426,51,3
0.6514,0.6712,0.6502,0.6556,0.6657,0.6693,0.6598,0.6508,0.6456,51,3
0.6514,0.6712,0.6465,0.6657,0.6510,0.6693,0.6720,0.6508,0.6426,51,3
0.6492,0.6771,0.6437,0.6657,0.6605,0.6630,0.6598,0.6508,0.6535,51,3
0.6514,0.6657,0.6541,0.6556,0.6556,0.6693,0.6720,0.6508,0.6456,51,3
0.6602,0.6510,0.6465,0.6424,0.6835,0.6630,0.6720,0.6568,0.6426,50,3
0.6602,0.6556,0.6437,0.6510,0.6510,0.6693,0.6657,0.6568,0.6578,50,3
0.6514,0.6712,0.6465,0.6605,0.6605,0.6571,0.6720,0.6537,0.6426,49,3
0.6492,0.6904,0.6437,0.6712,0.6424,0.6761,0.6657,0.6486,0.6426,49,3
0.6542,0.6605,0.6465,0.6510,0.6712,0.6630,0.6720,0.6508,0.6456,49,3
0.6514,0.6712,0.6465,0.6657,0.6466,0.6693,0.6720,0.6508,0.6456,48,3
0.6514,0.6657,0.6465,0.6605,0.6424,0.6630,0.6657,0.6508,0.6578,48,3
0.6514,0.6510,0.6437,0.6466,0.6466,0.6693,0.6598,0.6537,0.6838,47,3
0.6514,0.6657,0.6502,0.6510,0.6556,0.6630,0.6720,0.6508,0.6456,47,3
0.6514,0.6510,0.6502,0.6466,0.6712,0.6630,0.6789,0.6508,0.6456,45,3
0.6492,0.6712,0.6465,0.6510,0.6657,0.6630,0.6657,0.6486,0.6426,45,3
0.6492,0.6605,0.6465,0.6510,0.6556,0.6693,0.6789,0.6486,0.6456,44,3
0.6492,0.6657,0.6437,0.6510,0.6657,0.6693,0.6657,0.6486,0.6456,44,3
0.6492,0.6657,0.6465,0.6466,0.6556,0.6630,0.6657,0.6486,0.6535,44,3
0.6514,0.6605,0.6465,0.6466,0.6466,0.6693,0.6720,0.6486,0.6535,43,3
0.6514,0.6466,0.6502,0.6424,0.6466,0.6693,0.6598,0.6508,0.6672,42,3
0.6514,0.6466,0.6502,0.6424,0.6466,0.6630,0.6657,0.6508,0.6672,41,3
0.6514,0.6605,0.6465,0.6510,0.6510,0.6693,0.6657,0.6508,0.6426,40,3
0.6542,0.6510,0.6465,0.6424,0.6510,0.6630,0.6720,0.6537,0.6456,39,3
0.6514,0.6466,0.6437,0.6424,0.6712,0.6630,0.6789,0.6508,0.6426,39,3
0.6492,0.6657,0.6437,0.6466,0.6556,0.6630,0.6720,0.6486,0.6456,39,3
0.6542,0.6556,0.6437,0.6466,0.6510,0.6693,0.6598,0.6508,0.6456,38,3
0.6514,0.6466,0.6465,0.6424,0.6466,0.6630,0.6720,0.6508,0.6456,35,3
0.6542,0.6424,0.6437,0.6424,0.6424,0.6761,0.6657,0.6508,0.6426,34,3
0.6492,0.6510,0.6437,0.6466,0.6510,0.6630,0.6598,0.6486,0.6456,32,3
0.6492,0.6466,0.6465,0.6424,0.6424,0.6693,0.6657,0.6486,0.6456,30,3
